,1M_Return,3M_Return,6M_Return,12M_Return
Nifty 50,-0.8618994493892473,2.135027256525235,4.73173299436338,5.262434062509502
Nifty Bank,-0.46926840242530465,5.996596016592193,6.282674086492612,10.24208515876779
Nifty IT,4.449659578080345,5.282553349977204,0.06893153693081633,-15.249618347128624
Nifty FMCG,-1.1643263361273526,-3.0801973942554017,0.9171323929002329,-3.3790869437099524
Nifty Auto,0.37471873412209256,1.1998104430283263,18.01861576336656,16.253336415796227
Nifty Pharma,0.2807672778969428,0.7836344952836916,6.106751117461862,2.227306003891938
Nifty Metal,1.3002999911145174,5.684989141730767,16.378049566936625,12.552214269476615
Nifty Realty,-4.1070615388227765,-3.6528920841699675,-10.863759817268948,-20.89572206664331
Nifty Energy,-3.9641009701720797,-1.8218533792679903,-1.3535610766916784,-5.879236588584879
Nifty Infra,-1.393885992978272,3.544964196235112,6.485728418317094,7.059484656799597
Nifty PSU Bank,-1.6828696613811145,14.420862605250552,24.100501122184802,18.434065112839228
Nifty MNC,-0.20447672760783853,-1.2989178515820043,7.716960361250091,2.3997163716776626
Nifty Service,-1.0884936686936797,1.8999440226104225,2.9734780976861774,1.5271609292983879
Nifty Media,-4.2011626095093675,-14.330476238831968,-16.450458958642443,-29.634395214343613
Nifty Commodities,-0.5810756505898462,2.3882021428471623,7.859740690509698,6.425162575393495
