Year,1,2,3,4,5,6,7,8,9,10,11,12
2007,,,,,,,,,,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,-5.229231631986309,3.7131694615197164,2.806327033396072,1.4334292616955402,1.7797428265991622,-1.4494731263444471,-6.783828164003991,-0.37276453729392367,5.34577891959267,-6.207391256506433,-1.685558089997663
2012,8.907677670941405,4.4391576574211555,2.342239043570271,-0.8538375520085961,-3.938663328606329,4.372697509754464,1.4538915240070782,2.860450549894722,4.579248621233445,0.6354242334061011,0.44503325587252895,0.500292165205396
2013,-4.365455957208175,-8.06044203879116,-0.07064902430947706,14.217963215630514,0.8158351505586081,-3.8372330352121953,-1.9118272461556285,1.1056337742178624,2.6430815641275585,4.798116683544573,-1.036551019816745,4.89098239782455
2014,-6.855440539709923,0.47800501101380455,10.426609585074997,-2.359367735936768,14.122125218228,5.93487301515947,2.919674902228997,4.31265993535257,3.9833452490886545,1.3464964941686253,3.702700647702639,-0.4665938637022693
2015,9.434038490314078,2.2743437635492247,-0.8999513977201556,-2.1791018628173453,2.6343191422516288,0.7899492055799318,3.689916384353209,-6.5299185741159675,-0.9941684894972824,0.12316930534876924,-1.9876082208826418,1.669452081873235
2016,-9.170088666858478,-6.069051773475975,9.944385210272856,0.7238661585000861,2.0430309500891974,3.7953597598227695,6.67489304466411,1.5303664277055207,-0.8523517561308092,1.0013348849945203,-5.861229673734858,-1.005526259607703
2017,7.829561131965468,1.786127300293816,3.427107630053716,2.4114610000567804,6.073780417711538,1.4141948809792027,6.898361266947006,1.6642727236321875,-0.10769188348793701,4.852371139512535,-0.15586029382911315,7.720692748890179
2018,-0.3388104858262908,-3.4019666098937362,-3.383884673535953,7.0432983109456115,-2.889252988748736,-0.278790737244794,3.1149043113553487,2.382742822560102,-10.98036323154037,-3.3688694082013027,6.067207938451924,1.417397318505853
2019,-4.455644237707768,-1.8156064369628133,0.7057207547012112,-0.9684066514591638,0.8463983522746688,-0.8351148081482518,-7.024248721172577,1.9253207082935875,8.980012832968697,5.381024934623513,-2.9380867910191455,0.07075882389253607
2020,-0.2077778962080834,-3.6587153075036793,-16.501279483026686,13.14988853514565,-0.2167713097768198,5.831448098157677,2.5199300619529463,1.9797431612139649,1.3262685450515788,0.5670275141847592,6.069051816514381,4.730924971097794
2021,-1.0307669167134659,1.7150689836238353,3.195881355134955,-2.002597456568034,5.4831143223569745,4.147492638393158,1.460590421300778,5.3770863642906175,2.6878568685722026,-0.7837965187699969,-2.7760872953950133,3.695952769067623
2022,-2.073263772132383,-2.492933781183848,-1.3648048843207028,1.9298802343409083,-0.5496591694095665,-4.1440366447277555,9.127208298953615,2.95876725541524,-0.30806549471824596,1.0242143794953806,2.3189877292037364,-3.2889406876593585
2023,-1.7075034504582365,-1.8347668931052663,0.6591447680371232,3.5362106768871415,4.996325730905493,4.990771636186975,2.98288744706825,-2.5092241757814215,0.16486964484305755,-1.1362429761829218,4.382575659447574,6.8101047507570955
2024,0.404819004935586,3.2267320838152314,3.120684349786984,4.6292269622456805,5.464809242514579,6.3451796790397585,3.107133752561575,-1.0544421617149857,5.185680458433972,-10.272081546175805,-1.3105812198861422,-3.1869541106335775
2025,-1.6794043117336455,-9.20861934075472,5.242153767076152,2.9502856877465122,4.072082508738051,2.923261705738467,-0.6595189476962249,2.0548379384235593,1.6783897237075962,1.2571258410466468,0.620759196256504,-0.6796057357482566
