Year,1,2,3,4,5,6,7,8,9,10,11,12
2007,,,,,,,,,,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,-7.64958025801924,4.7286524562034415,3.30036715958939,2.9281557347921705,-0.11922658234410077,0.6529000480070657,-6.685649590427678,-0.07403597284887375,4.747893541634407,-0.5226370362702126,-2.857235846311823
2012,6.863700577028142,-1.6082673177416074,4.674021514533355,2.358730143034049,-2.0900415494637947,3.33521739647753,3.79217416962232,4.343536870746445,-0.4593808480385153,0.7833861761959771,3.5768204321203756,2.815281741130371
2013,-1.652858326429163,-2.646052056568804,3.0251600633239395,10.031075127561738,2.7342900594101716,0.4019735436712857,5.203296229170373,-1.7909816782816779,5.45086004177624,1.8326243430535571,-1.923043601799046,3.8514431587822084
2014,0.8677201331408035,7.470261648796872,-7.806441100178219,6.154331406824531,-4.779013551311728,10.667846119962254,9.456754300669857,7.914024373035589,7.586072629797247,0.2544411055539042,3.494333203062139,-2.709524381372308
2015,6.792361625475629,-1.1865515802941262,11.164191693539149,-6.126993117578971,3.7647846428502385,-2.4712785606529897,1.2349893893045971,6.961327547912499,-2.2284548100388157,1.946011731978703,-12.735238021229645,4.094698408409414
2016,-1.7356993407029675,-5.003036221163171,-1.5988054976837973,2.7672713409621963,-2.6369716838598234,1.332822231780706,4.9833961586788655,-1.7790472920985678,-0.24501716548136487,0.9671896813105318,-4.249967129620014,-7.337961642947965
2017,-0.29853307319567257,3.4074723369212467,-1.6438122613175898,-2.787876354772123,-10.825621716817825,6.439161138195626,-1.353264435311985,-6.50827291563314,3.5322976071511025,6.3602513515222725,-5.301865518655191,4.12771867812205
2018,-2.4464363045227366,-4.5232957723967075,-6.720796800452,8.406870107796305,-9.275775350643457,11.592109614975211,0.06813362622275498,13.198572380880847,-4.027543122945499,-2.1554401486360564,-4.937738198180885,-4.3878089139370635
2019,-0.4888042777724366,0.6741942544326474,3.5403050707588424,2.20774833957631,-10.076047759904283,-4.612006067898644,-0.9627831259675035,1.0585265062597715,-6.495249873000475,4.3774621886489395,3.9577857343890965,-1.8290745291038246
2020,1.2244820868800188,-6.903522607260815,-5.282607978354836,29.967248789451673,4.733518655212299,2.2168047612697084,11.654806933029649,-0.6197973209591701,6.255075153923739,-4.4942356942508255,5.295389799888817,9.094824919638157
2021,-5.773119705740603,-1.9913281105564784,2.88985661735508,9.75058609188948,4.32466544165413,1.8300239516430228,0.8134756052866399,-0.5583925864842354,0.8487425713240127,-4.058690012269728,-1.560230203735402,4.100185930560918
2022,-7.333893056141461,-1.9142844313866259,5.078282278512947,-0.8925876832964308,-6.376060336176859,-3.531297113641896,5.075930992531297,-0.6038360530962406,2.145770600328234,1.8528480957863636,-0.5150508406024712,-4.158492550443881
2023,-1.884085990464146,-4.9606633411541035,2.298015716978008,4.967112563619125,0.5109437909184944,8.590197310540294,8.895227097330661,0.6920288103891892,2.165154783201828,-4.792268625083073,10.591712269266317,3.651111690834008
2024,6.575942905693077,5.9341141993397795,-0.03683599748520727,-0.134505048257616,-0.9187839694790867,4.975713098467471,10.367150722480666,6.614498191508611,0.2739284441330314,-2.343729944377393,-2.178753298154168,5.269965298970347
2025,-8.429990242821594,-7.58025075791029,6.682056268453329,3.0041467796252386,-1.5175069840809075,2.7826090124818625,3.323025352952458,-4.246620014550406,-1.604292636993876,3.361340483237596,3.710870496718943,-1.0742131933999866
