Year,1,2,3,4,5,6,7,8,9,10,11,12
2007,,,,,,,,,,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,-3.170621023193765,10.504731170185044,-2.5334835052490234,-3.906159197274117,2.544124595032393,-2.1904886330607054,-11.307639449673278,-0.3424288772474804,7.3130981684355945,-9.76765108573755,-2.812740039885697
2012,13.065636707499229,3.749558964312505,-1.9375405495189013,-2.8147278462339553,-5.202386152963889,6.021099133814478,-1.393570720629922,0.04189988971476932,9.48921712584263,-2.3590609817087826,7.1231079961704635,-0.04993660571598335
2013,3.3548933257931735,-4.651132332196517,0.21276911737317938,2.0120436794200502,1.3745018425771471,-3.220186323765384,-2.1626918262691586,-4.191796917633795,3.39018637559112,12.749564561062998,-2.3544766319749777,3.141163946865655
2014,-3.2279139356031883,2.5829009817782467,5.564210275392756,0.1216046411463445,7.495109029477565,6.525733595294381,2.0690816977109616,1.7317543519484557,0.8000662721663332,6.277160224300471,5.439824651144276,-2.2066112086575274
2015,6.15335475092198,0.7022016066361658,-3.586182267767357,-4.165912789335446,2.9635807307801354,-1.5471423994472877,3.200110683645474,-6.421629095672521,1.7359625688730285,-0.36455612679735516,-1.430026869535428,0.15838816249897913
2016,-5.255958326156451,-9.216533962988304,12.38333335352797,1.8643233506381973,4.458992006912532,0.4202137757790769,3.3880492691088504,1.6103461617868131,-2.307270973168496,0.44068049899637085,-4.24035808805071,-0.913980967674044
2017,4.612067550673782,5.081631895616745,3.7962888629288205,0.8791178984744796,4.46031187718241,-1.2783224617958333,8.000650396432118,-2.21886926617082,-1.4073461751081373,3.635019948229301,0.8862544344024004,2.109959983092091
2018,6.790080809502386,-5.4982105844186275,-2.3717368738589206,6.099805675857861,1.972190863155121,-0.3311608680730327,5.25452227853942,1.831886928391424,-7.5031661786579935,-1.921017171682271,4.438651495402834,0.7471244982628855
2019,0.6602247141637596,-1.044710808452165,8.486603825595251,0.9777999763759926,3.7901787332831782,-0.39523943585855204,-4.6987990498501775,-1.4848749824823648,2.2118853917036496,1.8903089823247177,3.5872246709615974,2.2835717126060917
2020,-1.3364579723113335,-5.306453231946929,-27.162336896208284,13.144537386315536,-6.478671027082594,8.693161517405512,6.147214056706729,3.4870088571580693,-3.030294155509361,7.823808877262373,15.957192925758012,7.879964996446942
2021,-2.144358225602905,6.936448399295991,0.11784066374982416,-0.8455144400294157,5.631371051535927,1.644253113195071,0.18661523943854785,10.259868956287633,1.813845377562906,0.49188992099677975,-3.0033885529387683,1.6626869981633652
2022,-0.2580357261514843,-3.8884873391432095,3.522233304362765,-4.02277964124017,-3.324656868043707,-5.436822653342233,10.398694720203538,3.8090435521280552,-3.965641217894944,5.75922043081043,3.910997204799993,-3.3123183301677517
2023,-4.714320565684815,-2.9502016554892485,0.27902271060713524,3.0244823544732347,1.9312144493600858,2.8151784766382137,1.692384004997849,-2.3123985421810045,1.6823741157890426,-3.1560370769504797,5.196461570989408,8.170896255882433
2024,-1.0910998850605091,1.0890720650134078,0.5768727959045483,2.3694809794844174,-1.1403929945036029,7.983793242193715,3.3858560556723205,1.9041079305752495,2.964064957414503,-4.42475195031432,1.3245304129552826,-1.7136010545763636
2025,-2.2567328264396225,-4.237971112441263,5.973640147633241,3.2482066680517674,1.4120936824518981,3.4025489667695252,-2.966787461775644,-2.9562409358525277,0.2519590204200117,4.253976764782408,2.4007431748397146,-1.0022505691903216
