Date,Nifty Bank,Nifty IT,Nifty FMCG,Nifty Auto,Nifty Pharma,Nifty Metal,Nifty Realty,Nifty Energy,Nifty Infra,Nifty PSU Bank,Nifty MNC,Nifty Service,Nifty Media,Nifty Commodities
2007-09-17,,,,,,,,,,,,,,
2007-09-18,,,,,,,,,,,,,,
2007-09-19,,,,,,,,,,,,,,
2007-09-20,,,,,,,,,,,,,,
2007-09-21,,,,,,,,,,,,,,
2007-09-24,,,,,,,,,,,,,,
2007-09-25,,,,,,,,,,,,,,
2007-09-26,,,,,,,,,,,,,,
2007-09-27,,,,,,,,,,,,,,
2007-09-28,,,,,,,,,,,,,,
2007-10-01,,,,,,,,,,,,,,
2007-10-03,,,,,,,,,,,,,,
2007-10-04,,,,,,,,,,,,,,
2007-10-05,155.5020479055006,96.04514645642529,175.09960530016096,75.76907351737866,95.5340549435832,77.32477396335555,9.176957129186462,179.01686848233217,71.30933856296859,84.92708737731076,99.21910517536723,136.4626766002666,27.432686170112756,51.490774888681486
2007-10-08,155.25377052261257,95.50501007978343,173.5134667556065,75.0827198971916,94.66866037799386,76.62432804160723,9.093827727498924,177.39524543676038,70.66338342053685,84.15777595290761,98.32032960814038,135.22653040291962,27.18418737515264,51.02434606606987
2007-10-09,154.74873520719726,94.89660859167782,171.53339778679137,74.22590476610974,93.58833802469897,75.74992067111074,8.990052461937932,175.3708791021322,69.85700005814591,83.19739977136568,97.19833580961313,133.6833772309039,26.87397188081403,50.442075846999124
2007-10-10,154.11826343492416,94.64056786150086,169.84268730759385,73.49430079489964,92.66588918458615,75.00329531226247,8.901442453029777,173.64234467752644,69.16845798081582,82.37736870190439,96.24030520429547,132.36573361342167,26.609089901777928,49.94489601305798
2007-10-11,153.54771259994385,94.16694943802088,168.02318744652294,72.70696710273045,91.67317307080955,74.19979598259529,8.806082602315177,171.7821396429429,68.42746640984132,81.49487200284398,95.20929689463826,130.94771887438262,26.324030614581034,49.40984364902901
2007-10-12,152.9661455646261,93.78776415381537,166.64205589085796,72.10932407435833,90.91962997916734,73.5898820700403,8.733697601478784,170.37010992629422,67.86500039209054,80.82499339228714,94.42668726597788,129.8713434679387,26.107650066713727,49.003700334756594
2007-10-15,152.32408878829798,93.37178150000129,165.02146755805566,71.4080633472481,90.0354396661083,72.87422296671579,8.648762688983165,168.71326639463723,67.2050155686131,80.03897307712641,93.50839093993734,128.60834906436898,25.853754056677026,48.52714101362904
2007-10-16,151.94179918940247,92.89977519869515,163.42212973941213,70.71599813926439,89.1628435984146,72.1679481861093,8.564941514334496,167.0781487857304,66.55368501997648,79.26325971993788,92.6021360859249,127.36191610327809,25.603187344184278,48.05683073823145
2007-10-17,151.13565645979125,92.37349757478974,162.0388424298539,70.11742227340848,88.408124331015,71.55708228293032,8.492443530598882,165.663915087465,65.99034107115347,78.59233552221973,91.81830491269334,126.28386062482112,25.38646905643509,47.65005349084284
2007-10-18,150.10261650051766,92.04054120445555,161.23471139793574,69.76945882043228,87.9693917704623,71.20197439920092,8.450299083765257,164.84179433546964,65.66285859678841,78.20231461786959,91.36264905159706,125.6571666196303,25.26048662374802,47.41358619627342
